wl	PWM109
187.275	0
187.74	0
188.205	0
188.671	0
189.136	0
189.601	0
190.066	0
190.532	0
190.997	0
191.462	0
191.927	0
192.392	0
192.857	0
193.322	0
193.786	0
194.251	0
194.716	0
195.181	0
195.646	0
196.11	0
196.575	0
197.04	0
197.504	0
197.969	0
198.433	0
198.898	0
199.362	0
199.826	0
200.291	-2.22
200.755	23.64
201.219	6.96
201.684	12.22
202.148	12.36
202.612	5.32
203.076	-1.27
203.54	2.18
204.004	9.32
204.468	5.86
204.932	2.12
205.396	-5
205.86	8.16
206.324	2.99
206.788	2.83
207.251	1.32
207.715	7.47
208.179	-7.66
208.642	10.74
209.106	7.71
209.57	-4.58
210.033	2.16
210.497	2.28
210.96	-1.86
211.424	-1.13
211.887	-2.38
212.35	-0.87
212.814	5.81
213.277	6.4
213.74	5.78
214.203	-3.58
214.667	-0.55
215.13	0.66
215.593	-2.08
216.056	4.54
216.519	-0.64
216.982	-0.43
217.445	4.73
217.908	2.15
218.37	2.18
218.833	0.81
219.296	4.31
219.759	2.4
220.221	-0.53
220.684	-2.53
221.147	0.54
221.609	0.17
222.072	1.78
222.534	4.16
222.997	-0.38
223.459	1.72
223.922	2.2
224.384	-1.12
224.846	1.43
225.309	-0.47
225.771	-1.29
226.233	-0.7
226.695	4.28
227.157	-2.48
227.619	1.33
228.081	0.85
228.543	2.4
229.005	3.33
229.467	1.61
229.929	1.74
230.391	1.62
230.853	0.21
231.315	-0.2
231.776	0.08
232.238	-0.36
232.7	1.08
233.161	-0.63
233.623	1.25
234.084	0.79
234.546	0.56
235.007	0.27
235.469	-0.2
235.93	0.35
236.391	0.05
236.853	1.25
237.314	1.37
237.775	1.4
238.236	0.14
238.697	0.22
239.159	0.27
239.62	0.08
240.081	1.94
240.542	-0.58
241.003	1.85
241.463	1.14
241.924	0.44
242.385	-0.35
242.846	0.46
243.307	2.32
243.767	0.78
244.228	-0.37
244.689	0.83
245.149	0.95
245.61	0.97
246.07	-1.25
246.531	1.53
246.991	0.4
247.451	1.07
247.912	-0.02
248.372	0.14
248.832	0.3
249.293	0.1
249.753	1.12
250.213	-0.36
250.673	0.55
251.133	-0.19
251.593	0.84
252.053	1.68
252.513	0.41
252.973	1.35
253.433	-0.14
253.893	0.12
254.352	0.61
254.812	0.36
255.272	1.24
255.732	1.39
256.191	0.06
256.651	0.45
257.11	2.64
257.57	0.33
258.029	0.88
258.489	-0.85
258.948	0.48
259.407	0.8
259.867	-1.08
260.326	0.84
260.785	1.1
261.244	0.65
261.703	0.15
262.163	0.66
262.622	0.32
263.081	0.48
263.54	0.99
263.999	0.38
264.457	1.54
264.916	-1.12
265.375	1.6
265.834	0.7
266.293	0.16
266.751	0.69
267.21	0.67
267.669	0.04
268.127	0.52
268.586	0.54
269.044	0.78
269.503	-0.63
269.961	-0.07
270.419	-0.21
270.878	-0.31
271.336	0.9
271.794	0.95
272.252	0.7
272.711	0.45
273.169	-0.41
273.627	-0.45
274.085	0.81
274.543	1.23
275.001	0.63
275.459	-0.23
275.917	0.94
276.374	0.51
276.832	0.59
277.29	0.35
277.748	0.64
278.205	0.57
278.663	0.61
279.121	0.58
279.578	0.52
280.036	1.09
280.493	0.64
280.951	-0.6
281.408	-0.12
281.865	0.47
282.323	0.07
282.78	0.01
283.237	-0.21
283.694	0.32
284.151	0.87
284.609	0.6
285.066	0.56
285.523	-0.23
285.98	0.76
286.437	0.5
286.893	-0.23
287.35	0.14
287.807	0.46
288.264	1.22
288.721	0.34
289.177	-0.19
289.634	0.14
290.09	0.64
290.547	0.62
291.004	1.17
291.46	0.49
291.916	0.28
292.373	0.43
292.829	1.18
293.286	0.08
293.742	0.62
294.198	0.7
294.654	0.03
295.11	0.29
295.566	-0.3
296.022	0.29
296.478	0.15
296.934	-0.1
297.39	0.02
