wl	B
187.275	-22.672
187.74	-16.43166667
188.205	-22.00428571
188.671	-22.0875
189.136	-25.27333333
189.601	-29.69444444
190.066	-33.07555556
190.532	-36.19666667
190.997	-40.61777778
191.462	-30.99555556
191.927	-33.33555556
192.392	-31.51555556
192.857	-23.19444444
193.322	-6.811111111
193.786	2.551111111
194.251	14.25444444
194.716	26.47777778
195.181	48.32222222
195.646	70.94666667
196.11	89.15111111
196.575	115.9377778
197.04	137.0033333
197.504	158.8488889
197.969	184.3344444
198.433	209.04
198.898	223.6033333
199.362	235.0466667
199.826	249.09
200.291	262.3522222
200.755	269.3733333
201.219	279.7755556
201.684	284.4566667
202.148	287.8377778
202.612	293.0388889
203.076	310.4622222
203.54	316.7033333
204.004	323.7255556
204.468	340.11
204.932	346.3511111
205.396	344.27
205.86	347.9111111
206.324	355.4522222
206.788	356.2322222
207.251	358.3133333
207.715	361.9544444
208.179	355.9722222
208.642	345.05
209.106	349.2111111
209.57	349.7311111
210.033	347.39
210.497	347.13
210.96	341.6688889
211.424	334.9066667
211.887	329.9655556
212.35	334.1266667
212.814	335.1666667
213.277	333.3466667
213.74	332.5666667
214.203	330.2266667
214.667	326.5866667
215.13	331.7877778
215.593	337.77
216.056	335.9488889
216.519	335.1688889
216.982	335.9488889
217.445	337.5088889
217.908	337.2488889
218.37	334.6477778
218.833	337.2477778
219.296	332.5666667
219.759	322.9444444
220.221	333.6066667
220.684	332.3066667
221.147	334.6466667
221.609	330.2255556
222.072	329.7055556
222.534	332.0466667
222.997	326.3255556
223.459	325.2855556
223.922	331.2666667
224.384	322.6855556
224.846	323.9855556
225.309	310.7233333
225.771	309.6833333
226.233	314.1044444
226.695	316.4444444
227.157	315.9244444
227.619	320.3455556
228.081	318.7855556
228.543	316.9644444
229.005	316.9644444
229.467	323.4655556
229.929	323.7255556
230.391	322.9455556
230.853	320.0844444
231.315	321.1244444
231.776	323.2044444
232.238	319.3033333
232.7	319.8233333
233.161	318.5233333
233.623	319.0433333
234.084	320.0833333
234.546	314.6222222
235.007	315.9233333
235.469	320.0844444
235.93	319.8244444
236.391	326.5855556
236.853	323.9855556
237.314	319.3044444
237.775	324.5055556
238.236	326.3266667
238.697	329.7066667
239.159	326.8455556
239.62	324.5044444
240.081	322.4244444
240.542	320.6044444
241.003	324.2455556
241.463	323.9855556
241.924	324.7655556
242.385	333.0877778
242.846	331.5277778
243.307	338.0288889
243.767	341.93
244.228	346.6111111
244.689	338.2888889
245.149	334.9077778
245.61	343.23
246.07	341.67
246.531	323.2055556
246.991	328.9266667
247.451	324.5066667
247.912	320.8666667
248.372	319.5655556
248.832	329.1877778
249.293	332.5688889
249.753	330.4877778
250.213	332.8288889
250.673	347.9122222
251.133	345.5722222
251.593	350.5133333
252.053	353.6333333
252.513	348.9522222
252.973	355.4533333
253.433	358.5733333
253.893	356.2333333
254.352	357.2733333
254.812	354.4122222
255.272	353.8922222
255.732	354.4122222
256.191	349.7311111
256.651	350.7722222
257.11	342.9711111
257.57	344.7922222
258.029	346.0922222
258.489	347.3922222
258.948	355.1944444
259.407	354.4144444
259.867	346.8722222
260.326	349.4733333
260.785	353.8933333
261.244	358.8344444
261.703	355.1933333
262.163	350.5122222
262.622	342.97
263.081	340.3688889
263.54	339.3277778
263.999	342.1888889
264.457	332.0466667
264.916	327.6266667
265.375	326.3266667
265.834	326.8466667
266.293	333.3477778
266.751	341.15
267.21	344.2711111
267.669	346.0922222
268.127	352.0733333
268.586	365.3355556
269.044	370.7966667
269.503	368.7155556
269.961	371.3155556
270.419	369.2355556
270.878	361.9544444
271.336	353.6322222
271.794	352.5922222
272.252	347.1311111
272.711	343.4911111
273.169	336.2088889
273.627	332.5677778
274.085	335.6888889
274.543	334.3888889
275.001	338.2888889
275.459	342.45
275.917	340.1088889
276.374	335.4277778
276.832	341.9288889
277.29	338.2877778
277.748	341.9288889
278.205	334.9077778
278.663	340.8888889
279.121	334.6477778
279.578	326.0655556
280.036	332.5666667
280.493	342.7088889
280.951	345.83
281.408	349.4711111
281.865	347.3911111
282.323	348.1711111
282.78	347.6511111
283.237	354.9333333
283.694	355.1933333
284.151	359.8744444
284.609	358.5744444
285.066	349.4722222
285.523	353.6333333
285.98	360.9144444
286.437	361.1744444
286.893	365.5955556
287.35	363.7744444
287.807	371.0566667
288.264	361.1744444
288.721	359.3533333
289.177	360.9133333
289.634	360.3933333
290.09	357.7933333
290.547	370.5355556
291.004	368.1944444
291.46	367.9344444
291.916	367.6744444
292.373	371.5755556
292.829	369.4955556
293.286	380.9377778
293.742	384.5788889
294.198	387.6988889
294.654	378.5977778
295.11	384.3188889
295.566	382.7588889
296.022	377.2977778
296.478	383.5388889
296.934	382.7588889
297.39	371.5766667
297.846	371.8366667
298.302	366.8955556
298.758	361.1733333
299.214	353.3722222
299.669	349.2111111
300.125	349.9911111
300.581	349.2111111
301.036	353.6322222
301.492	349.7311111
301.947	344.53
302.403	341.93
302.858	343.2311111
303.314	343.4911111
303.769	351.0333333
304.224	351.0333333
304.68	350.7733333
305.135	348.6922222
305.59	347.1322222
306.045	351.2922222
306.5	355.9733333
306.955	360.3944444
307.41	358.8333333
307.865	345.57
308.32	344.01
308.775	344.27
309.23	344.53
309.685	355.7122222
310.139	358.5733333
310.594	356.7522222
311.049	353.3711111
311.503	353.8922222
311.958	355.7122222
312.413	352.8511111
312.867	352.3311111
313.322	346.87
313.776	346.09
314.23	342.7088889
314.685	348.4311111
315.139	355.4522222
315.593	351.8111111
316.047	364.5544444
316.502	373.3966667
316.956	368.4555556
317.41	376.2577778
317.864	374.4377778
318.318	378.8588889
318.772	375.4777778
319.226	369.7566667
319.68	363.2544444
320.133	353.8922222
320.587	358.0533333
321.041	359.0933333
321.495	359.3533333
321.948	356.7522222
322.402	352.0711111
322.855	355.1911111
323.309	353.6311111
323.762	361.4333333
324.216	371.5755556
324.669	366.6344444
325.123	370.2755556
325.576	365.3344444
326.029	369.2355556
326.482	369.4955556
326.935	367.1555556
327.389	375.7377778
327.842	380.6788889
328.295	375.4777778
328.748	377.2977778
329.201	362.9944444
329.654	372.3566667
330.107	363.2544444
330.559	357.5333333
331.012	354.1522222
331.465	347.65
331.918	347.13
332.37	352.8511111
332.823	348.43
333.275	361.9533333
333.728	352.5911111
334.18	359.0922222
334.633	363.5133333
335.085	365.5944444
335.538	370.7955556
335.99	366.1144444
336.442	364.8144444
336.894	371.0555556
337.347	365.8544444
337.799	368.9744444
338.251	364.5544444
338.703	370.2755556
339.155	371.3155556
339.607	365.0744444
340.059	368.7155556
340.511	371.0555556
340.963	366.1144444
341.414	372.3555556
341.866	369.2355556
342.318	368.4544444
342.769	369.4955556
343.221	366.8944444
343.673	364.2944444
344.124	361.6933333
344.576	352.0711111
345.027	348.9511111
345.478	344.53
345.93	350.5111111
346.381	354.9322222
346.832	348.69
347.284	353.3711111
347.735	362.9933333
348.186	370.5355556
348.637	377.2977778
349.088	384.5788889
349.539	391.0811111
349.99	387.96
350.441	386.66
350.892	389.5211111
351.343	384.84
351.793	379.3777778
352.244	367.4144444
352.695	368.4544444
353.146	365.8544444
353.596	360.9133333
354.047	352.0722222
354.497	353.8922222
354.948	347.13
355.398	343.23
355.848	343.75
356.299	347.1311111
356.749	344.79
357.199	346.61
357.65	348.69
358.1	365.5933333
358.55	365.5933333
359	365.8533333
359.45	378.3355556
359.9	380.9366667
360.35	386.9177778
360.8	378.0766667
361.25	377.5566667
361.699	376.5166667
362.149	370.0155556
362.599	377.8177778
363.049	386.4
363.498	383.54
363.948	385.1
364.397	380.1588889
364.847	385.62
365.296	387.44
365.746	380.9377778
366.195	385.3588889
366.644	380.6777778
367.094	367.9355556
367.543	367.1544444
367.992	359.8733333
368.441	366.8955556
368.89	370.2755556
369.339	368.4555556
369.788	372.0966667
370.237	364.8144444
370.686	361.1733333
371.135	373.6555556
371.584	382.7577778
372.033	388.2188889
372.482	386.1377778
372.93	388.4788889
373.379	385.3577778
373.827	381.1966667
374.276	386.9177778
374.725	390.0388889
375.173	391.86
375.621	373.1355556
376.07	368.9744444
376.518	369.2344444
376.966	357.2711111
377.415	362.9922222
377.863	368.7133333
378.311	365.0722222
378.759	364.0322222
379.207	356.49
379.655	365.5922222
380.103	364.2922222
380.551	359.8711111
380.999	368.7133333
381.447	362.7322222
381.895	366.6333333
382.342	370.7944444
382.79	372.3544444
383.238	365.8533333
383.685	365.8533333
384.133	367.1533333
384.58	368.1944444
385.028	362.2133333
385.475	362.7333333
385.923	366.8944444
386.37	364.8144444
386.817	357.0122222
387.265	374.1755556
387.712	368.1944444
388.159	372.3555556
388.606	372.8755556
389.053	392.38
389.5	397.3211111
389.947	383.5377778
390.394	385.0977778
390.841	393.16
391.288	385.8788889
391.735	390.56
392.181	392.12
392.628	388.7388889
393.075	377.8166667
393.521	378.8577778
393.968	379.6377778
394.414	381.9788889
394.861	379.1188889
395.307	383.02
395.754	380.94
396.2	371.3177778
396.646	377.5588889
397.093	377.0388889
397.539	379.8988889
397.985	383.54
398.431	370.0166667
398.877	371.5766667
399.323	371.3155556
399.769	378.3366667
400.215	387.4388889
400.661	381.1977778
401.107	381.4577778
401.552	375.2166667
401.998	383.7988889
402.444	391.34
402.889	398.6211111
403.335	398.1011111
403.781	396.0211111
404.226	398.3622222
404.672	398.1022222
405.117	396.0211111
405.562	398.8811111
406.008	392.64
406.453	394.4611111
406.898	384.5788889
407.343	386.14
407.789	382.4988889
408.234	376.7766667
408.679	382.2377778
409.124	385.6188889
409.569	379.1177778
410.014	380.4177778
410.458	382.2377778
410.903	385.8788889
411.348	389.7788889
411.793	391.0788889
412.237	398.8811111
412.682	391.6
413.127	392.9
413.571	404.6033333
414.016	407.9844444
414.46	417.0866667
414.904	423.3277778
415.349	419.6877778
415.793	425.1488889
416.237	436.3311111
416.682	450.1133333
417.126	459.9955556
417.57	465.4566667
418.014	473.7777778
418.458	472.9977778
418.902	485.2211111
419.346	499.5244444
419.79	502.6455556
420.233	501.0855556
420.677	514.8688889
421.121	527.8722222
421.565	529.4322222
422.008	543.9955556
422.452	567.6611111
422.895	576.5033333
423.339	599.6477778
423.782	625.9133333
424.226	648.2788889
424.669	668.3033333
425.113	688.8477778
425.556	734.0977778
425.999	769.2066667
426.442	800.1533333
426.885	834.2211111
427.328	868.0288889
427.771	913.54
428.214	964.2511111
428.657	1018.344444
429.1	1069.576667
429.543	1131.211111
429.986	1189.724444
430.429	1264.622222
430.871	1354.602222
431.314	1434.701111
431.757	1521.821111
432.199	1621.944444
432.642	1720.766667
433.084	1829.731111
433.527	1943.116667
433.969	2071.065556
434.411	2200.574444
434.854	2342.567778
435.296	2502.764444
435.738	2686.886667
436.18	2859.565556
436.622	3066.833333
437.064	3294.905556
437.506	3523.237778
437.948	3763.012222
438.39	4017.351111
438.832	4294.574444
439.274	4585.321111
439.715	4877.367778
440.157	5207.903333
440.599	5543.64
441.04	5915.265556
441.482	6293.132222
441.924	6715.208889
442.365	7158.35
442.806	7623.335556
443.248	8128.631111
443.689	8659.152222
444.13	9213.34
444.572	9775.588889
445.013	10396.61111
445.454	11032.71667
445.895	11717.71333
446.336	12419.09333
446.777	13138.67889
447.218	13889.21
447.659	14711.25778
448.1	15595.72
448.54	16508.00778
448.981	17408.85333
449.422	18428.02667
449.863	19445.64
450.303	20505.90333
450.744	21636.64222
451.184	22831.87667
451.625	24032.83222
452.065	25244.44889
452.505	26528.36333
452.946	27894.71667
453.386	29236.62444
453.826	30668.77222
454.266	32089.47778
454.707	33552.05222
455.147	34982.63889
455.587	36477.46111
456.027	37926.25333
456.467	39414.05333
456.906	40795.48889
457.346	42248.18111
457.786	43595.81
458.226	44905.98889
458.666	46135.29
459.105	47261.34778
459.545	48303.40556
459.984	49272.64667
460.424	50035.40222
460.863	50775.79222
461.303	51375.22889
461.742	51861.28
462.181	52273.99444
462.621	52470.6
463.06	52638.33889
463.499	52627.41667
463.938	52538.73667
464.377	52397.26333
464.816	52110.67778
465.255	51703.16444
465.694	51157.29889
466.133	50538.87778
466.572	49894.97
467.01	49096.84778
467.449	48270.63889
467.888	47356.79
468.326	46363.10333
468.765	45362.39444
469.203	44291.21
469.642	43224.96667
470.08	42197.99222
470.519	41176.47889
470.957	40187.73222
471.395	39202.10667
471.834	38228.96333
472.272	37309.65222
472.71	36427.53
473.148	35542.54667
473.586	34675.76778
474.024	33811.58889
474.462	32965.87444
474.9	32218.46333
475.338	31486.39556
475.775	30746.78667
476.213	30036.56444
476.651	29294.35444
477.088	28587.77333
477.526	27928.78222
477.964	27251.06778
478.401	26629.78556
478.838	25922.68333
479.276	25250.43
479.713	24632.26889
480.15	23967.81667
480.588	23324.43
481.025	22695.86556
481.462	22057.68
481.899	21429.11556
482.336	20777.40667
482.773	20146.24222
483.21	19477.36889
483.647	18854.52556
484.084	18256.64889
484.521	17660.85222
484.957	17043.47111
485.394	16467.17889
485.831	15853.17889
486.267	15271.42556
486.704	14705.79667
487.14	14176.57556
487.577	13642.93444
488.013	13127.49667
488.45	12621.16
488.886	12169.43667
489.322	11716.41333
489.758	11310.2
490.195	10911.00889
490.631	10530.80111
491.067	10155.53444
491.503	9796.912222
491.939	9447.132222
492.375	9128.04
492.81	8826.631111
493.246	8543.946667
493.682	8279.206667
494.118	8003.283333
494.553	7767.41
494.989	7527.895556
495.424	7288.12
495.86	7098.536667
496.295	6903.752222
496.731	6696.744444
497.166	6521.204444
497.602	6330.06
498.037	6170.903333
498.472	5997.443333
498.907	5822.683333
499.342	5670.028889
499.777	5507.751111
500.212	5343.393333
500.647	5204.262222
501.082	5043.544444
501.517	4900.772222
501.952	4760.34
502.387	4624.588889
502.821	4512.763333
503.256	4372.591111
503.69	4242.562222
504.125	4149.981111
504.56	4034.254444
504.994	3947.135556
505.428	3855.594444
505.863	3763.013333
506.297	3685.515556
506.731	3602.816667
507.165	3552.365556
507.6	3498.272222
508.034	3409.851111
508.468	3343.535556
508.902	3280.34
509.336	3224.947778
509.77	3164.614444
510.203	3095.438889
510.637	3037.705556
511.071	2982.312222
511.505	2926.4
511.938	2884.791111
512.372	2847.603333
512.805	2792.731111
513.239	2744.36
513.672	2713.673333
514.106	2690.787778
514.539	2653.078889
514.972	2614.59
515.406	2586.243333
515.839	2559.456667
516.272	2527.728889
516.705	2512.645556
517.138	2496.521111
517.571	2469.994444
518.004	2431.245556
518.437	2413.302222
518.87	2387.036667
519.302	2357.13
519.735	2322.022222
520.168	2305.638889
520.6	2264.81
521.033	2231.783333
521.466	2209.418889
521.898	2193.295556
522.33	2179.772222
