wl	G
187.275	-44.268
187.74	-48.715
188.205	-56.23714286
188.671	-61.87875
189.136	-72.76888889
189.601	-70.94777778
190.066	-74.32777778
190.532	-71.72666667
190.997	-66.78444444
191.462	-63.66444444
191.927	-50.40111111
192.392	-30.11666667
192.857	-5.151111111
193.322	19.81444444
193.786	30.73666667
194.251	49.72111111
194.716	69.22555556
195.181	86.38888889
195.646	101.9933333
196.11	114.7366667
196.575	128.52
197.04	139.1822222
197.504	163.8877778
197.969	182.0922222
198.433	196.3955556
198.898	208.6177778
199.362	221.8811111
199.826	230.9822222
200.291	250.4866667
200.755	262.1888889
201.219	279.3522222
201.684	286.3744444
202.148	299.1166667
202.612	317.06
203.076	332.6644444
203.54	343.3266667
204.004	352.6888889
204.468	352.9488889
204.932	358.41
205.396	362.5711111
205.86	358.15
206.324	361.2711111
206.788	355.29
207.251	349.8288889
207.715	355.03
208.179	358.9311111
208.642	365.1722222
209.106	369.8533333
209.57	361.7922222
210.033	366.9933333
210.497	369.5944444
210.96	371.1544444
211.424	367.7733333
211.887	351.65
212.35	342.8077778
212.814	338.9066667
213.277	333.9655556
213.74	340.2066667
214.203	342.5477778
214.667	330.8444444
215.13	326.6833333
215.593	327.7233333
216.056	330.8433333
216.519	337.8655556
216.982	334.4844444
217.445	327.2033333
217.908	314.72
218.37	303.2766667
218.833	311.8588889
219.296	317.5811111
219.759	321.7422222
220.221	329.0244444
220.684	330.0644444
221.147	323.5633333
221.609	324.3433333
222.072	326.4244444
222.534	325.3844444
222.997	326.4244444
223.459	327.7244444
223.922	333.4455556
224.384	328.7644444
224.846	326.1644444
225.309	325.1244444
225.771	333.1855556
226.233	333.4455556
226.695	341.5077778
227.157	341.7677778
227.619	337.6066667
228.081	326.9444444
228.543	317.8422222
229.005	318.1022222
229.467	317.5822222
229.929	316.5422222
230.391	316.2822222
230.853	319.9222222
231.315	318.1022222
231.776	315.2411111
232.238	321.4822222
232.7	327.9833333
233.161	325.1222222
233.623	326.4222222
234.084	323.8222222
234.546	323.3022222
235.007	315.7611111
235.469	317.3211111
235.93	325.3833333
236.391	325.1233333
236.853	333.1855556
237.314	335.7866667
237.775	348.01
238.236	343.8488889
238.697	351.13
239.159	357.1111111
239.62	356.3311111
240.081	361.7922222
240.542	357.6311111
241.003	349.3088889
241.463	347.4877778
241.924	348.0077778
