wl	R
187.275	-33.412
187.74	-46.51833333
188.205	-48.52428571
188.671	-43.3
189.136	-41.31666667
189.601	-51.97888889
190.066	-57.7
190.532	-62.64111111
190.997	-56.4
191.462	-48.85888889
191.927	-33.77555556
192.392	-23.11333333
192.857	-13.75111111
193.322	-9.07
193.786	13.81555556
194.251	29.15888889
194.716	44.76222222
195.181	67.64777778
195.646	80.91111111
196.11	95.47444444
196.575	116.2788889
197.04	137.6033333
197.504	161.0077778
197.969	182.3322222
198.433	206.7777778
198.898	220.8211111
199.362	232.0033333
199.826	247.3466667
200.291	264.77
200.755	275.4333333
201.219	283.4955556
201.684	292.3377778
202.148	297.2788889
202.612	297.5388889
203.076	306.1211111
203.54	311.3233333
204.004	316.2644444
204.468	321.2055556
204.932	318.6044444
205.396	319.6444444
205.86	324.8455556
206.324	320.6844444
206.788	324.8455556
207.251	333.4277778
207.715	339.1488889
208.179	342.79
208.642	344.8711111
209.106	351.1122222
209.57	349.8122222
210.033	344.3511111
210.497	346.1722222
210.96	346.6922222
211.424	335.77
211.887	327.7077778
212.35	332.9088889
212.814	322.5066667
213.277	318.0855556
213.74	318.3455556
214.203	317.3055556
214.667	315.2244444
215.13	308.4633333
215.593	306.6422222
216.056	311.5833333
216.519	293.3788889
216.982	295.4588889
217.445	296.76
217.908	296.24
218.37	297.8
218.833	301.7011111
219.296	311.5833333
219.759	320.6855556
220.221	321.9855556
220.684	324.3266667
221.147	327.7077778
221.609	329.5277778
222.072	326.4066667
222.534	325.8866667
222.997	322.2455556
223.459	310.2822222
223.922	299.62
224.384	294.4188889
224.846	304.0411111
225.309	302.7411111
225.771	295.1988889
226.233	298.58
226.695	308.9822222
227.157	306.6422222
227.619	312.3644444
228.081	324.8466667
228.543	332.6488889
229.005	331.6077778
229.467	327.4466667
229.929	328.2277778
230.391	331.8688889
230.853	325.3677778
231.315	323.2866667
231.776	326.9266667
232.238	323.5466667
232.7	316.5244444
233.161	319.9055556
233.623	323.5455556
234.084	324.3255556
234.546	319.6444444
235.007	313.1433333
235.469	314.7044444
235.93	309.2433333
236.391	308.7233333
236.853	315.2255556
237.314	303.7833333
237.775	302.4833333
238.236	301.4433333
238.697	298.5822222
239.159	300.1422222
239.62	306.3833333
240.081	311.8444444
240.542	307.1633333
241.003	298.0611111
241.463	313.9244444
241.924	323.2866667
242.385	330.0477778
242.846	333.9488889
243.307	334.7288889
243.767	338.63
244.228	329.7888889
244.689	337.85
245.149	342.7911111
245.61	336.29
246.07	333.43
246.531	333.17
246.991	332.39
247.451	334.2111111
247.912	328.75
248.372	331.61
248.832	330.83
249.293	334.7311111
249.753	329.53
250.213	317.5666667
250.673	316.5266667
251.133	311.0655556
251.593	305.3433333
252.053	305.8633333
252.513	310.2844444
252.973	307.1644444
253.433	298.5822222
253.893	302.4822222
254.352	316.2655556
254.812	323.5466667
255.272	332.9088889
255.732	342.5311111
256.191	341.4911111
256.651	339.4111111
257.11	341.4911111
257.57	339.9311111
258.029	333.17
258.489	328.4888889
258.948	324.8477778
259.407	320.6866667
259.867	317.3066667
260.326	326.9288889
260.785	331.87
261.244	331.61
261.703	336.8111111
262.163	349.8144444
262.622	348.2544444
263.081	347.7344444
263.54	354.7555556
263.999	359.9566667
264.457	351.3744444
264.916	351.1144444
265.375	345.6533333
265.834	345.6533333
266.293	336.2911111
266.751	334.21
267.21	323.5477778
267.669	313.6655556
268.127	311.0644444
268.586	316.7855556
269.044	320.9455556
269.503	322.5055556
269.961	317.5644444
270.419	324.5855556
270.878	325.3655556
271.336	333.1677778
271.794	333.4277778
272.252	342.53
272.711	332.3877778
273.169	318.3455556
273.627	325.3677778
274.085	325.8877778
274.543	325.1077778
275.001	329.7888889
275.459	335.25
275.917	334.99
276.374	323.8077778
276.832	327.7088889
277.29	330.5688889
277.748	324.8466667
278.205	333.6888889
278.663	331.3488889
279.121	332.91
279.578	324.5877778
280.036	322.7677778
280.493	321.4666667
280.951	323.2866667
281.408	319.3855556
281.865	314.7044444
282.323	311.0633333
282.78	316.5244444
283.237	314.1833333
283.694	314.1833333
284.151	321.7244444
284.609	321.4644444
285.066	318.0833333
285.523	328.7466667
285.98	339.67
286.437	343.0511111
286.893	339.93
287.35	343.0511111
287.807	349.0322222
288.264	347.7322222
288.721	357.6144444
289.177	364.8966667
289.634	360.2155556
290.09	355.5344444
290.547	360.4755556
291.004	358.1355556
291.46	355.0144444
291.916	347.9933333
292.373	344.6122222
292.829	337.8511111
293.286	336.03
293.742	339.67
294.198	336.5488889
294.654	326.6666667
295.11	326.4066667
295.566	326.4066667
296.022	328.7466667
296.478	334.9888889
296.934	333.6888889
297.39	331.0888889
297.846	324.8477778
298.302	333.43
298.758	339.1511111
299.214	348.7733333
299.669	345.3922222
300.125	353.7144444
300.581	351.8933333
301.036	348.5122222
301.492	352.1533333
301.947	354.2333333
302.403	353.7133333
302.858	354.2333333
303.314	347.9911111
303.769	349.8122222
304.224	340.97
304.68	341.23
305.135	344.0911111
305.59	334.7288889
306.045	330.8288889
306.5	332.1288889
306.955	330.8288889
307.41	326.4077778
307.865	327.4477778
308.32	336.81
308.775	340.9711111
309.23	342.7911111
309.685	349.5522222
310.139	358.3933333
310.594	352.1522222
311.049	358.3933333
311.503	368.2755556
311.958	374.2566667
312.413	371.9166667
312.867	363.5955556
313.322	366.7166667
313.776	362.2955556
314.23	365.4166667
314.685	367.7566667
315.139	358.3944444
315.593	355.7944444
316.047	356.3144444
316.502	354.7533333
316.956	363.8544444
317.41	359.6933333
317.864	362.0344444
318.318	356.0533333
318.772	357.3533333
319.226	361.2544444
319.68	363.8544444
320.133	356.0533333
320.587	363.0755556
321.041	357.3544444
321.495	360.4755556
321.948	363.3355556
322.402	363.0755556
322.855	363.5966667
323.309	359.6955556
323.762	357.0955556
324.216	364.3766667
324.669	359.9555556
325.123	362.8166667
325.576	357.0944444
326.029	358.3955556
326.482	362.0366667
326.935	361.7766667
327.389	363.3366667
327.842	360.9955556
328.295	352.6744444
328.748	343.0522222
329.201	342.0122222
329.654	345.3933333
330.107	337.3311111
330.559	335.25
331.012	336.29
331.465	336.81
331.918	336.81
332.37	338.11
332.823	343.8311111
333.275	339.67
333.728	338.37
334.18	343.0511111
334.633	341.4911111
335.085	340.19
335.538	338.63
335.99	342.2711111
336.442	349.8122222
336.894	350.5922222
337.347	359.6944444
337.799	358.9144444
338.251	358.1344444
338.703	358.3944444
339.155	354.4944444
339.607	350.0733333
340.059	349.5533333
340.511	343.3122222
340.963	342.0122222
341.414	339.6711111
341.866	345.9122222
342.318	342.5311111
342.769	343.5711111
343.221	340.45
343.673	347.7322222
344.124	348.7722222
344.576	350.3322222
345.027	351.8922222
345.478	346.6911111
345.93	344.61
346.381	352.9322222
346.832	359.4333333
347.284	366.9755556
347.735	372.6966667
