wl	RGBW
187.275	-53.156
187.74	-62.36333333
188.205	-66.59857143
188.671	-60.70625
189.136	-59.24333333
189.601	-58.46333333
190.066	-59.24444444
190.532	-58.20444444
190.997	-53.78333333
191.462	-50.92333333
191.927	-37.66
192.392	-19.71666667
192.857	-12.95444444
193.322	0.308888889
193.786	21.63333333
194.251	33.85666667
194.716	47.64
195.181	57.78222222
195.646	71.56555556
196.11	88.47
196.575	111.8755556
197.04	144.1222222
197.504	167.7866667
197.969	184.4311111
198.433	214.3377778
198.898	239.0433333
199.362	266.09
199.826	295.7366667
200.291	315.5011111
200.755	325.6433333
201.219	328.7644444
201.684	337.6066667
202.148	343.0677778
202.612	350.35
203.076	361.5322222
203.54	364.6522222
204.004	367.5133333
204.468	376.6155556
204.932	386.4977778
205.396	392.9988889
205.86	392.9988889
206.324	400.8
206.788	394.2977778
207.251	391.9577778
207.715	395.5988889
208.179	392.9977778
208.642	387.0155556
209.106	380.7744444
209.57	383.8955556
210.033	390.3977778
210.497	388.5777778
210.96	390.3988889
211.424	391.9588889
211.887	391.4388889
212.35	386.2377778
212.814	389.3588889
213.277	388.0588889
213.74	379.9966667
214.203	377.6555556
214.667	377.6555556
215.13	377.1355556
215.593	375.0544444
216.056	375.3144444
216.519	386.7566667
216.982	384.6766667
217.445	384.9366667
217.908	380.7766667
218.37	377.3955556
218.833	368.5533333
219.296	373.2333333
219.759	375.8344444
220.221	372.1933333
220.684	367.2522222
221.147	372.1933333
221.609	369.3322222
222.072	372.1922222
222.534	369.3322222
222.997	376.0933333
223.459	377.3944444
223.922	368.8122222
224.384	368.0322222
224.846	370.8933333
225.309	366.4722222
225.771	367.7733333
226.233	365.9533333
226.695	367.5133333
227.157	366.4733333
227.619	361.7922222
228.081	368.0333333
228.543	368.2933333
229.005	370.1133333
229.467	367.5122222
229.929	359.97
230.391	362.05
230.853	357.6288889
231.315	357.3688889
231.776	357.6288889
232.238	361.27
232.7	366.4711111
233.161	358.93
233.623	356.85
234.084	357.89
234.546	364.9122222
235.007	366.4733333
235.469	365.9533333
235.93	370.1144444
236.391	374.7955556
236.853	375.5755556
237.314	377.9155556
237.775	384.4166667
238.236	392.2188889
238.697	379.9955556
239.159	384.9366667
239.62	384.4166667
240.081	384.9366667
240.542	375.8344444
241.003	375.5744444
241.463	375.5744444
241.924	368.0322222
242.385	368.2922222
242.846	375.8344444
243.307	374.7933333
243.767	378.4344444
244.228	382.5955556
244.689	387.2766667
245.149	381.5555556
245.61	383.1166667
246.07	388.0577778
246.531	392.2188889
246.991	389.8777778
247.451	384.9366667
247.912	386.7566667
248.372	376.0933333
248.832	371.4122222
249.293	372.4522222
249.753	374.5322222
250.213	372.1922222
250.673	359.1888889
251.133	359.9688889
251.593	364.65
252.053	362.05
252.513	361.01
252.973	355.0288889
253.433	356.33
253.893	344.1077778
254.352	348.5288889
254.812	355.29
255.272	361.5322222
255.732	358.9322222
256.191	358.6722222
256.651	361.2733333
257.11	366.7344444
257.57	370.3744444
258.029	379.4755556
258.489	380.5155556
258.948	376.6155556
259.407	371.6744444
259.867	370.3733333
260.326	373.2333333
260.785	382.0755556
261.244	391.1777778
261.703	387.2777778
262.163	384.1577778
262.622	377.1366667
263.081	390.3988889
263.54	394.2988889
263.999	401.3211111
264.457	399.2411111
264.916	393.7788889
265.375	389.8777778
265.834	395.8588889
266.293	411.7222222
266.751	422.6444444
267.21	418.2244444
267.669	414.3244444
268.127	415.1044444
268.586	410.1633333
269.044	405.7433333
269.503	407.8244444
269.961	404.4433333
270.419	391.96
270.878	383.8977778
271.336	382.3366667
271.794	387.5377778
272.252	384.9377778
272.711	390.1388889
273.169	393.2588889
273.627	395.0788889
274.085	391.9577778
274.543	393.7788889
275.001	397.94
275.459	388.5777778
275.917	387.2766667
276.374	385.1955556
276.832	385.4555556
277.29	387.0166667
277.748	383.8955556
278.205	378.4344444
278.663	381.0344444
279.121	381.5544444
279.578	388.0566667
280.036	382.3355556
280.493	390.9177778
280.951	385.4566667
281.408	384.1555556
281.865	378.9544444
282.323	386.4966667
282.78	379.7355556
283.237	375.5744444
283.694	382.5955556
284.151	383.6355556
284.609	383.8955556
285.066	384.6755556
285.523	381.5555556
285.98	380.5155556
286.437	378.4344444
286.893	383.3755556
287.35	386.2366667
287.807	382.0755556
288.264	386.7566667
288.721	387.7966667
289.177	397.6788889
289.634	395.0777778
290.09	402.36
290.547	404.1811111
291.004	404.1811111
291.46	406.5211111
291.916	410.9422222
292.373	410.4222222
292.829	400.28
293.286	396.1188889
293.742	410.1622222
294.198	408.6011111
294.654	410.9411111
295.11	412.5011111
295.566	407.3
296.022	396.1177778
296.478	395.3377778
296.934	405.48
297.39	406.26
297.846	405.22
298.302	397.1588889
298.758	401.58
299.214	405.2211111
299.669	405.2211111
300.125	412.5022222
300.581	413.8022222
301.036	404.96
301.492	398.9788889
301.947	396.3777778
302.403	407.3
302.858	398.9777778
303.314	390.9155556
303.769	392.9966667
304.224	392.7366667
304.68	389.8766667
305.135	397.1588889
305.59	391.4377778
306.045	391.4377778
306.5	390.6577778
306.955	388.3177778
307.41	382.5966667
307.865	380.7755556
308.32	384.4166667
308.775	387.5377778
309.23	380.7755556
309.685	397.6788889
310.139	395.3388889
310.594	395.5988889
311.049	401.32
311.503	404.1811111
311.958	402.8811111
312.413	400.8011111
312.867	394.8188889
313.322	400.8011111
313.776	388.8388889
314.23	397.9411111
314.685	392.22
315.139	389.1
315.593	391.44
316.047	395.8611111
316.502	386.2388889
316.956	387.54
317.41	385.9788889
317.864	390.66
318.318	380.5177778
318.772	381.0377778
319.226	386.4988889
319.68	389.36
320.133	387.54
320.587	395.0811111
321.041	397.4211111
321.495	395.3411111
321.948	396.3811111
322.402	397.9411111
322.855	394.82
323.309	394.82
323.762	390.1388889
324.216	386.4977778
324.669	387.2777778
325.123	385.7177778
325.576	387.2777778
326.029	384.4166667
326.482	383.6366667
326.935	385.1966667
327.389	379.7355556
327.842	384.6766667
328.295	388.8377778
328.748	381.5566667
329.201	381.8166667
329.654	375.0555556
330.107	374.2755556
330.559	374.2755556
331.012	379.4777778
331.465	380.7777778
331.918	386.7588889
332.37	387.0188889
332.823	393.26
333.275	398.4611111
333.728	398.4611111
334.18	406.2633333
334.633	411.2044444
335.085	414.3244444
335.538	412.2433333
335.99	410.1633333
336.442	409.9033333
336.894	414.0644444
337.347	411.9833333
337.799	414.5833333
338.251	410.9422222
338.703	402.88
339.155	392.4777778
339.607	394.0388889
340.059	388.5777778
340.511	389.8777778
340.963	383.1166667
341.414	387.7977778
341.866	397.94
342.318	402.8811111
342.769	405.7422222
343.221	420.5655556
343.673	412.5033333
344.124	416.1433333
344.576	420.5644444
345.027	421.6044444
345.478	410.6822222
345.93	404.7011111
346.381	396.6388889
346.832	396.6388889
347.284	386.2366667
347.735	400.02
348.186	394.2988889
348.637	394.0388889
349.088	398.72
349.539	402.8811111
349.99	402.3611111
350.441	401.0611111
350.892	397.94
351.343	402.8811111
351.793	395.0788889
352.244	390.6577778
352.695	382.0755556
353.146	376.8744444
353.596	381.0355556
354.047	379.2155556
354.497	386.4977778
354.948	391.4388889
355.398	386.2377778
355.848	400.8011111
356.299	406.7822222
356.749	410.4233333
357.199	405.4822222
357.65	398.72
358.1	396.1188889
358.55	389.6166667
359	394.0377778
359.45	400.7988889
359.9	389.6166667
360.35	390.3977778
360.8	388.3166667
361.25	395.8577778
361.699	396.1177778
362.149	400.5388889
362.599	402.1
363.049	397.4188889
363.498	392.4777778
363.948	398.7188889
364.397	398.7188889
364.847	398.98
365.296	397.68
365.746	398.7211111
366.195	394.56
366.644	396.12
367.094	395.34
367.543	399.2411111
367.992	391.96
368.441	390.9188889
368.89	395.3388889
369.339	396.3788889
369.788	404.18
370.237	407.8211111
370.686	407.3011111
371.135	409.3811111
371.584	408.3411111
372.033	415.8822222
372.482	422.3844444
372.93	423.6855556
373.379	420.5644444
373.827	412.7633333
374.276	419.5244444
374.725	416.9233333
375.173	419.2644444
375.621	420.3044444
376.07	421.6055556
376.518	420.3055556
376.966	415.3644444
377.415	421.3466667
377.863	421.8666667
378.311	412.2444444
378.759	418.4866667
379.207	416.4055556
379.655	415.8855556
380.103	408.3433333
380.551	401.5811111
380.999	395.86
381.447	395.34
381.895	406.0022222
382.342	413.5444444
382.79	412.2433333
383.238	405.2222222
383.685	397.68
384.133	397.42
384.58	402.1011111
385.028	406.0011111
385.475	397.1588889
385.923	385.9766667
386.37	379.2155556
386.817	379.9966667
387.265	386.7577778
387.712	392.22
388.159	390.14
388.606	388.32
389.053	394.0422222
389.5	398.9833333
389.947	407.5644444
390.394	410.1644444
390.841	410.1644444
391.288	399.5022222
391.735	394.56
392.181	394.2988889
392.628	391.9577778
393.075	392.4777778
393.521	401.32
393.968	391.4377778
394.414	387.5366667
394.861	384.9355556
395.307	395.0777778
395.754	405.7411111
396.2	412.2433333
396.646	411.9833333
397.093	404.4411111
397.539	397.9388889
397.985	403.4011111
398.431	408.3422222
398.877	412.7633333
399.323	415.1044444
399.769	403.1411111
400.215	401.06
400.661	404.4411111
401.107	409.1222222
401.552	409.9022222
401.998	407.0411111
402.444	401.84
402.889	405.2211111
403.335	402.36
403.781	406.2611111
404.226	407.5622222
404.672	407.5622222
405.117	414.5833333
405.562	411.4633333
406.008	415.8844444
406.453	423.1666667
406.898	419.0055556
407.343	418.4855556
407.789	430.4477778
408.234	430.4477778
408.679	437.7288889
409.124	442.41
409.569	444.23
410.014	447.09
410.458	449.17
410.903	452.29
411.348	461.9122222
411.793	461.9122222
412.237	462.4322222
412.682	459.3122222
413.127	460.8733333
413.571	472.0555556
414.016	473.6166667
414.46	479.5977778
414.904	491.5611111
415.349	501.1833333
415.793	515.4866667
416.237	532.91
416.682	548.5133333
417.126	553.4544444
417.57	562.2966667
418.014	576.86
418.458	598.1855556
418.902	605.4666667
419.346	619.77
419.79	624.1911111
420.233	635.1144444
420.677	658.26
421.121	680.6244444
421.565	709.7511111
422.008	730.0355556
422.452	741.2177778
422.895	766.7044444
423.339	782.5677778
423.782	809.0944444
424.226	833.8
424.669	866.8277778
425.113	897.2555556
425.556	929.5033333
425.999	969.8122222
426.442	1025.725556
426.885	1064.734444
427.328	1120.127778
427.771	1164.857778
428.214	1234.293333
428.657	1286.824444
429.1	1358.86
429.543	1431.936667
429.986	1501.113333
430.429	1570.808889
430.871	1667.29
431.314	1770.793333
431.757	1877.157778
432.199	1986.643333
432.642	2108.872222
433.084	2225.64
433.527	2352.808889
433.969	2509.624444
434.411	2676.062222
434.854	2827.677778
435.296	2995.935556
435.738	3180.577778
436.18	3370.421111
436.622	3577.947778
437.064	3809.92
437.506	4044.754444
437.948	4300.392222
438.39	4560.712222
438.832	4865.762222
439.274	5186.676667
439.715	5518.512222
440.157	5864.651111
440.599	6231.855556
441.04	6635.467778
441.482	7046.101111
441.924	7480.401111
442.365	7966.192222
442.806	8449.902222
443.248	8960.658889
443.689	9537.731111
444.13	10120.00444
444.572	10724.38222
445.013	11381.29333
445.454	12061.08889
445.895	12804.07889
446.336	13559.03222
446.777	14367.81778
447.218	15207.55
447.659	16084.21111
448.1	17051.37222
448.54	18030.23667
448.981	19036.40667
449.422	20140.88
449.863	21274.74
450.303	22479.85556
450.744	23764.54889
451.184	25076.80889
451.625	26444.20111
452.065	27804.83222
452.505	29278.59
452.946	30772.89222
453.386	32326.74778
453.826	33817.14889
454.266	35304.68889
454.707	36838.78
455.147	38343.22444
455.587	39864.83333
456.027	41274.09667
456.467	42737.71111
456.906	44085.86
457.346	45387.19778
457.786	46663.83
458.226	47835.91889
458.666	48907.36444
459.105	49869.58444
459.545	50696.57333
459.984	51536.30556
460.424	52105.05556
460.863	52666.26333
461.303	53076.11667
461.742	53419.39444
462.181	53621.98
462.621	53667.75111
463.06	53675.29333
463.499	53628.48333
463.938	53487.53111
464.377	53376.74556
464.816	53116.16667
465.255	52800.19444
465.694	52400.22333
466.133	52015.59556
466.572	51595.07889
467.01	51097.58444
467.449	50542.35667
467.888	49932.51667
468.326	49263.64444
468.765	48673.04889
469.203	47987.27222
469.642	47325.42111
470.08	46625.08111
470.519	45978.57333
470.957	45386.93778
471.395	44789.06111
471.834	44191.18444
472.272	43577.44333
472.71	42955.12111
473.148	42360.88556
473.586	41762.22778
474.024	41209.08111
474.462	40561.53222
474.9	39975.09889
475.338	39401.92778
475.775	38859.70333
476.213	38337.50444
476.651	37778.63667
477.088	37245.51444
477.526	36710.83222
477.964	36178.49
478.401	35706.22222
478.838	35123.68889
