wl	W
187.275	-5.12
187.74	-20.33333333
188.205	-19.49714286
188.671	-21.79625
189.136	-22.28333333
189.601	-33.72555556
190.066	-43.34777778
190.532	-55.31
190.997	-59.73111111
191.462	-52.44888889
191.927	-41.00666667
192.392	-35.54555556
192.857	-29.30333333
193.322	-23.58222222
193.786	3.463333333
194.251	22.70777778
194.716	40.13111111
195.181	60.41555556
195.646	80.44
196.11	110.0866667
196.575	135.8322222
197.04	167.5588889
197.504	204.7466667
197.969	227.3722222
198.433	253.1177778
198.898	281.9844444
199.362	315.0122222
199.826	344.3988889
200.291	361.0433333
200.755	377.4277778
201.219	393.8111111
201.684	402.3933333
202.148	407.5944444
202.612	419.5577778
203.076	433.0811111
203.54	442.9633333
204.004	439.0622222
204.468	439.5822222
204.932	437.2411111
205.396	432.56
205.86	431.78
206.324	434.6411111
206.788	429.18
207.251	424.7588889
207.715	416.1766667
208.179	410.4555556
208.642	415.9166667
209.106	419.0377778
209.57	417.4777778
210.033	413.8366667
210.497	406.8144444
210.96	411.4955556
211.424	407.3344444
211.887	409.1555556
212.35	418.7777778
212.814	405.5144444
213.277	401.6133333
213.74	406.2944444
214.203	410.1955556
214.667	402.3933333
215.13	397.4522222
215.593	396.6722222
216.056	397.9722222
216.519	384.4488889
216.982	386.27
217.445	392.5111111
217.908	382.6288889
218.37	379.2477778
218.833	384.45
219.296	381.0688889
219.759	381.0688889
220.221	377.6877778
220.684	390.4311111
221.147	394.5922222
221.609	386.7911111
222.072	393.0322222
222.534	398.4933333
222.997	404.4744444
223.459	405.5144444
223.922	408.8955556
224.384	406.2955556
224.846	410.7166667
225.309	412.0166667
225.771	416.1766667
226.233	415.3966667
226.695	405.2544444
227.157	406.8144444
227.619	409.6755556
228.081	407.0744444
228.543	413.3155556
229.005	414.3555556
229.467	413.0555556
229.929	413.8366667
230.391	419.2977778
230.853	418.7777778
231.315	414.6166667
231.776	417.4766667
232.238	414.0955556
232.7	412.2744444
233.161	401.6122222
233.623	406.8133333
234.084	407.8533333
234.546	407.0733333
235.007	415.1355556
235.469	419.2966667
235.93	422.9377778
236.391	429.18
236.853	423.4588889
237.314	431.26
237.775	427.6188889
238.236	419.5566667
238.697	416.9566667
239.159	419.8177778
239.62	414.3566667
240.081	410.9755556
240.542	418.5166667
241.003	423.9777778
241.463	422.6777778
241.924	427.3588889
242.385	432.82
242.846	436.2
243.307	428.9177778
243.767	435.9388889
244.228	433.0788889
244.689	423.7166667
245.149	426.5777778
245.61	429.6988889
246.07	424.7577778
246.531	430.74
246.991	429.18
247.451	431.26
247.912	428.66
248.372	432.04
248.832	436.2011111
249.293	438.5422222
249.753	430.74
250.213	422.6777778
250.673	420.5966667
251.133	418.5166667
251.593	417.4766667
252.053	418.2566667
252.513	414.0966667
252.973	407.8555556
253.433	406.2944444
253.893	412.0155556
254.352	426.5788889
254.812	415.1366667
255.272	411.4955556
255.732	411.7555556
256.191	410.4555556
256.651	419.8166667
257.11	419.2966667
257.57	419.5566667
258.029	413.5755556
258.489	412.7955556
258.948	427.3588889
259.407	431.26
259.867	437.2422222
260.326	442.1833333
260.785	435.6822222
261.244	440.3633333
261.703	427.1011111
262.163	429.4422222
262.622	418
263.081	410.7177778
263.54	409.9366667
263.999	413.5766667
264.457	410.4555556
264.916	408.8955556
265.375	409.9355556
265.834	420.5977778
266.293	426.0588889
266.751	428.6588889
267.21	433.08
267.669	435.1611111
268.127	431.26
268.586	425.2788889
269.044	428.1388889
269.503	434.38
269.961	430.2188889
270.419	424.2366667
270.878	432.0388889
271.336	438.02
271.794	442.1811111
272.252	443.2222222
272.711	448.9433333
273.169	447.6433333
273.627	449.2044444
274.085	457.0055556
274.543	459.0866667
275.001	455.1855556
275.459	443.2233333
275.917	439.8422222
276.374	442.1822222
276.832	440.6222222
277.29	435.9411111
277.748	430.4788889
278.205	431.78
278.663	433.86
279.121	427.8788889
279.578	435.9411111
280.036	438.8022222
280.493	432.0411111
280.951	429.44
281.408	430.74
281.865	432.5611111
282.323	425.7988889
282.78	427.1
283.237	437.7622222
283.694	441.4022222
284.151	435.16
284.609	440.1011111
285.066	445.5622222
285.523	440.3611111
285.98	430.7388889
286.437	439.0611111
286.893	443.2211111
287.35	440.88
287.807	438.28
288.264	446.3422222
288.721	443.7411111
289.177	445.8222222
289.634	456.7455556
290.09	467.9277778
290.547	465.5877778
291.004	452.3255556
291.46	450.2455556
291.916	446.3444444
292.373	446.3444444
292.829	446.8644444
293.286	440.6222222
293.742	441.6622222
294.198	439.3222222
294.654	442.4422222
295.11	446.3422222
295.566	452.5833333
296.022	458.3044444
296.478	451.2833333
296.934	449.2033333
297.39	444.5233333
297.846	435.6811111
298.302	428.6588889
298.758	426.3188889
299.214	428.92
299.669	416.6977778
300.125	411.2366667
300.581	413.5766667
301.036	414.3566667
301.492	420.8577778
301.947	422.4177778
302.403	428.92
302.858	427.3588889
303.314	427.0988889
303.769	436.4611111
304.224	438.2811111
304.68	438.2811111
305.135	441.1422222
305.59	440.3622222
306.045	446.0844444
306.5	445.5633333
306.955	442.4433333
307.41	439.3222222
307.865	436.9811111
308.32	435.6811111
308.775	434.3811111
309.23	431.26
309.685	432.82
310.139	432.82
310.594	436.2011111
311.049	441.9222222
311.503	445.5633333
311.958	449.4644444
312.413	447.9044444
312.867	453.8855556
313.322	454.1455556
313.776	457.5266667
314.23	458.8266667
314.685	462.7277778
315.139	460.3866667
315.593	454.6655556
316.047	454.1455556
316.502	458.5666667
316.956	455.7055556
317.41	456.2255556
317.864	458.5655556
318.318	459.3455556
318.772	455.9644444
319.226	459.3455556
319.68	464.2866667
320.133	459.8655556
320.587	458.5655556
321.041	454.4055556
321.495	459.0866667
321.948	454.9255556
322.402	446.6033333
322.855	436.4611111
323.309	433.8611111
323.762	436.7222222
324.216	431.5211111
324.669	433.0811111
325.123	439.3222222
325.576	434.9011111
326.029	439.3222222
326.482	448.1644444
326.935	460.3877778
327.389	467.6688889
327.842	467.6688889
328.295	483.2722222
328.748	479.3711111
329.201	470.5288889
329.654	471.0488889
330.107	464.8077778
330.559	453.8855556
331.012	440.6222222
331.465	431.52
331.918	429.6988889
332.37	419.2966667
332.823	412.7955556
333.275	420.5977778
333.728	421.3788889
334.18	426.32
334.633	433.6011111
335.085	443.2233333
335.538	443.4833333
335.99	440.1022222
336.442	442.7033333
336.894	449.9844444
337.347	445.0433333
337.799	441.4022222
338.251	434.3811111
338.703	445.0433333
339.155	443.4833333
339.607	447.1244444
340.059	457.7877778
340.511	457.7877778
340.963	461.1688889
341.414	468.71
341.866	463.2488889
342.318	469.23
342.769	458.8277778
343.221	451.8055556
343.673	451.0255556
344.124	440.1022222
344.576	438.5411111
345.027	438.5411111
345.478	430.2188889
345.93	447.6422222
346.381	440.62
346.832	432.5588889
347.284	442.4411111
347.735	448.6822222
348.186	456.2244444
348.637	452.5833333
349.088	443.2211111
349.539	440.8811111
349.99	431.5188889
350.441	435.16
350.892	445.3022222
351.343	435.94
351.793	433.08
352.244	428.3988889
352.695	436.4611111
353.146	446.8633333
353.596	454.6655556
354.047	443.7433333
354.497	446.0844444
354.948	435.4222222
355.398	435.9422222
355.848	433.6011111
356.299	434.3811111
356.749	428.92
357.199	426.06
357.65	424.7588889
358.1	441.4022222
358.55	436.2
359	437.24
359.45	449.2033333
359.9	448.6833333
360.35	449.2033333
360.8	448.6833333
361.25	445.5622222
361.699	452.5844444
362.149	449.7244444
362.599	453.6255556
363.049	459.6066667
363.498	449.2044444
363.948	442.1833333
364.397	446.0844444
364.847	446.3444444
365.296	448.4244444
365.746	444.7833333
